service	prefix	action	action docs	access level	condition keys	dependent actions	description
AWS Amplify 	amplify	StartDeployment	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write			Start a deployment for manual deploy apps. (Apps are not connected to repository)
AWS Amplify 	amplify	StartJob	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write			Starts a new job for a branch, part of an Amplify App
AWS Amplify 	amplify	StopJob	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write			Stop a job that is in progress, for an Amplify branch, part of Amplify App
AWS Amplify 	amplify	TagResource	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Tagging	aws:TagKeys, aws:RequestTag/${TagKey}		This action tags an AWS Amplify Console resource
AWS Amplify 	amplify	UntagResource	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Tagging	aws:TagKeys		This action removes a tag from an AWS Amplify Console resource
AWS Amplify 	amplify	UpdateApp	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write			Updates an existing Amplify App
AWS Amplify 	amplify	UpdateBranch	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write			Updates a branch for an Amplify App
AWS Amplify 	amplify	UpdateDomainAssociation	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write			Update a DomainAssociation on an App
AWS Amplify 	amplify	UpdateWebHook	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write			Update a webhook
AWS Amplify Admin 	amplifybackend	CloneBackend	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-environments-backendenvironmentname-clone.html#CloneBackend	Write			Grants permission to clone an existing Amplify Admin backend environment into a new Amplify Admin backend enviroment
AWS Amplify Admin 	amplifybackend	CreateBackend	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend.html#CreateBackend	Write			Grants permission to create a new Amplify Admin backend environment by Amplify appId
AWS Amplify Admin 	amplifybackend	CreateBackendAPI	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-api.html#CreateBackendAPI	Write			Grants permission to create an API for an existing Amplify Admin backend environment by appId and backendEnvironmentName
AWS Amplify Admin 	amplifybackend	CreateBackendAuth	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-auth.html#CreateBackendAuth	Write			Grants permission to create an auth resource for an existing Amplify Admin backend environment by appId and backendEnvironmentName
AWS Amplify Admin 	amplifybackend	CreateBackendConfig	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-config.html#CreateBackendConfig	Write			Grants permission to create a new Amplify Admin backend config by Amplify appId
AWS Amplify Admin 	amplifybackend	CreateBackendStorage	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-storage.html#CreateBackendStorage	Write			Grants permission to create a backend storage resource
AWS Amplify Admin 	amplifybackend	CreateToken	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-challenge.html#CreateToken	Write			Grants permission to create an Amplify Admin challenge token by appId
AWS Amplify Admin 	amplifybackend	DeleteBackend	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-environments-backendenvironmentname-remove.html#DeleteBackend	Write			Grants permission to delete an existing Amplify Admin backend environment by appId and backendEnvironmentName
AWS Amplify Admin 	amplifybackend	DeleteBackendAPI	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-api-backendenvironmentname-remove.html#DeleteBackendAPI	Write			Grants permission to delete an API of an existing Amplify Admin backend environment by appId and backendEnvironmentName
AWS Amplify Admin 	amplifybackend	DeleteBackendAuth	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-auth-backendenvironmentname-remove.html#DeleteBackendAuth	Write			Grants permission to delete an auth resource of an existing Amplify Admin backend environment by appId and backendEnvironmentName
AWS Amplify Admin 	amplifybackend	DeleteBackendStorage	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-storage.html#DeleteBackendStorage	Write			Grants permission to delete a backend storage resource
AWS Amplify Admin 	amplifybackend	DeleteToken	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-challenge-sessionid-remove.html#DeleteToken	Write			Grants permission to delete an Amplify Admin challenge token by appId
AWS Amplify Admin 	amplifybackend	GenerateBackendAPIModels	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-api-backendenvironmentname-generatemodels.html#GenerateBackendAPIModels	Write			Grants permission to generate models for an API of an existing Amplify Admin backend environment by appId and backendEnvironmentName
AWS Amplify Admin 	amplifybackend	GetBackend	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-details.html#GetBackend	Read			Grants permission to retrieve an existing Amplify Admin backend environment by appId and backendEnvironmentName
AWS Amplify Admin 	amplifybackend	GetBackendAPI	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-api-backendenvironmentname-details.html#GetBackendAPI	Read			Grants permission to retrieve an API of an existing Amplify Admin backend environment by appId and backendEnvironmentName
AWS Amplify Admin 	amplifybackend	GetBackendAPIModels	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-api-backendenvironmentname-getmodels.html#GetBackendAPIModels	Read			Grants permission to retrieve models for an API of an existing Amplify Admin backend environment by appId and backendEnvironmentName
AWS Amplify Admin 	amplifybackend	GetBackendAuth	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-auth-backendenvironmentname-details.html#GetBackendAuth	Read			Grants permission to retrieve an auth resource of an existing Amplify Admin backend environment by appId and backendEnvironmentName
AWS Amplify Admin 	amplifybackend	GetBackendJob	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-job-backendenvironmentname-jobid.html#GetBackendJob	Read			Grants permission to retrieve a job of an existing Amplify Admin backend environment by appId and backendEnvironmentName
AWS Amplify Admin 	amplifybackend	GetBackendStorage	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-storage.html#GetBackendStorage	Read			Grants permission to retrieve an existing backend storage resource
AWS Amplify Admin 	amplifybackend	GetToken	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-challenge-sessionid.html#GetToken	Read			Grants permission to retrieve an Amplify Admin challenge token by appId
AWS Amplify Admin 	amplifybackend	ImportBackendAuth	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-auth-backendenvironmentname.html#ImportBackendAuth	Write			Grants permission to import an existing auth resource of an Amplify Admin backend environment by appId and backendEnvironmentName
AWS Amplify Admin 	amplifybackend	ImportBackendStorage	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-storage.html#ImportBackendStorage	Write			Grants permission to import an existing backend storage resource
AWS Amplify Admin 	amplifybackend	ListBackendJobs	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-job-backendenvironmentname.html#ListBackendJobs	List			Grants permission to retrieve the jobs of an existing Amplify Admin backend environment by appId and backendEnvironmentName
AWS Amplify Admin 	amplifybackend	ListS3Buckets	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-storage.html#ListS3Buckets	List			Grants permission to retrieve s3 buckets
AWS Amplify Admin 	amplifybackend	RemoveAllBackends	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-remove.html#RemoveAllBackends	Write			Grants permission to delete all existing Amplify Admin backend environments by appId
AWS Amplify Admin 	amplifybackend	RemoveBackendConfig	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-config-remove.html#RemoveBackendConfig	Write			Grants permission to delete an Amplify Admin backend config by Amplify appId
AWS Amplify Admin 	amplifybackend	UpdateBackendAPI	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-api-backendenvironmentname.html#UpdateBackendAPI	Write			Grants permission to update an API of an existing Amplify Admin backend environment by appId and backendEnvironmentName
AWS Amplify Admin 	amplifybackend	UpdateBackendAuth	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-auth-backendenvironmentname.html#UpdateBackendAuth	Write			Grants permission to update an auth resource of an existing Amplify Admin backend environment by appId and backendEnvironmentName
AWS Amplify Admin 	amplifybackend	UpdateBackendConfig	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-config-update.html#UpdateBackendConfig	Write			Grants permission to update an Amplify Admin backend config by Amplify appId
AWS Amplify Admin 	amplifybackend	UpdateBackendJob	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-job-backendenvironmentname-jobid.html#UpdateBackendJob	Write			Grants permission to update a job of an existing Amplify Admin backend environment by appId and backendEnvironmentName
AWS Amplify Admin 	amplifybackend	UpdateBackendStorage	https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-storage.html#UpdateBackendStorage	Write			Grants permission to update a backend storage resource
AWS Amplify UI Builder 	amplifyuibuilder	CreateComponent	https://docs.aws.amazon.com/amplifyuibuilder/latest/APIReference/API_CreateComponent.html	Write	aws:RequestTag/${TagKey}, aws:TagKeys		Grants permission to create a component
AWS Amplify UI Builder 	amplifyuibuilder	CreateTheme	https://docs.aws.amazon.com/amplifyuibuilder/latest/APIReference/API_CreateTheme.html	Write	aws:RequestTag/${TagKey}, aws:TagKeys		Grants permission to create a theme
AWS Amplify UI Builder 	amplifyuibuilder	DeleteComponent	https://docs.aws.amazon.com/amplifyuibuilder/latest/APIReference/API_DeleteComponent.html	Write			Grants permission to delete a component
AWS Amplify UI Builder 	amplifyuibuilder	DeleteTheme	https://docs.aws.amazon.com/amplifyuibuilder/latest/APIReference/API_DeleteTheme.html	Write			Grants permission to delete a theme
AWS Amplify UI Builder 	amplifyuibuilder	ExchangeCodeForToken	https://docs.aws.amazon.com/amplifyuibuilder/latest/APIReference/API_ExchangeCodeForToken.html	Write			Grants permission to exchange a code for a token
AWS Amplify UI Builder 	amplifyuibuilder	ExportComponents	https://docs.aws.amazon.com/amplifyuibuilder/latest/APIReference/API_ExportComponents.html	Read			Grants permission to export components
AWS Amplify UI Builder 	amplifyuibuilder	ExportThemes	https://docs.aws.amazon.com/amplifyuibuilder/latest/APIReference/API_ExportThemes.html	Read			Grants permission to export themes
AWS Amplify UI Builder 	amplifyuibuilder	GetComponent	https://docs.aws.amazon.com/amplifyuibuilder/latest/APIReference/API_GetComponent.html	Read			Grants permission to get an existing component
AWS Amplify UI Builder 	amplifyuibuilder	GetTheme	https://docs.aws.amazon.com/amplifyuibuilder/latest/APIReference/API_GetTheme.html	Read			Grants permission to get an existing theme
AWS Amplify UI Builder 	amplifyuibuilder	ListComponents	https://docs.aws.amazon.com/amplifyuibuilder/latest/APIReference/API_ListComponents.html	List			Grants permission to list the components for an app
AWS Amplify UI Builder 	amplifyuibuilder	ListTagsForResource	https://docs.aws.amazon.com/amplifyuibuilder/latest/APIReference/welcome.html	Read			Grants permission to list the tags for a resource
AWS Amplify UI Builder 	amplifyuibuilder	ListThemes	https://docs.aws.amazon.com/amplifyuibuilder/latest/APIReference/API_ListThemes.html	List			Grants permission to list the themes for an app
AWS Amplify UI Builder 	amplifyuibuilder	RefreshToken	https://docs.aws.amazon.com/amplifyuibuilder/latest/APIReference/API_RefreshToken.html	Write			Grants permission to refresh an access token
AWS Amplify UI Builder 	amplifyuibuilder	TagResource	https://docs.aws.amazon.com/amplifyuibuilder/latest/APIReference/welcome.html	Tagging	aws:TagKeys, aws:RequestTag/${TagKey}		Grants permission to tag a resource
AWS Amplify UI Builder 	amplifyuibuilder	UntagResource	https://docs.aws.amazon.com/amplifyuibuilder/latest/APIReference/welcome.html	Tagging	aws:TagKeys		Grants permission to untag a resource
AWS Amplify UI Builder 	amplifyuibuilder	UpdateComponent	https://docs.aws.amazon.com/amplifyuibuilder/latest/APIReference/API_UpdateComponent.html	Write			Grants permission to update a component
AWS Amplify UI Builder 	amplifyuibuilder	UpdateTheme	https://docs.aws.amazon.com/amplifyuibuilder/latest/APIReference/API_UpdateTheme.html	Write			Grants permission to update a theme
AWS App Mesh 	appmesh	CreateGatewayRoute	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_CreateGatewayRoute.html	Write	aws:TagKeys, aws:RequestTag/${TagKey}		Grants permission to create a gateway route that is associated with a virtual gateway
AWS App Mesh 	appmesh	CreateMesh	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_CreateMesh.html	Write	aws:TagKeys, aws:RequestTag/${TagKey}		Grants permission to create a service mesh
AWS App Mesh 	appmesh	CreateRoute	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_CreateRoute.html	Write	aws:TagKeys, aws:RequestTag/${TagKey}		Grants permission to create a route that is associated with a virtual router
AWS App Mesh 	appmesh	CreateVirtualGateway	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_CreateVirtualGateway.html	Write	aws:TagKeys, aws:RequestTag/${TagKey}		Grants permission to create a virtual gateway within a service mesh
AWS App Mesh 	appmesh	CreateVirtualNode	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_CreateVirtualNode.html	Write	aws:TagKeys, aws:RequestTag/${TagKey}		Grants permission to create a virtual node within a service mesh
AWS App Mesh 	appmesh	CreateVirtualRouter	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_CreateVirtualRouter.html	Write	aws:TagKeys, aws:RequestTag/${TagKey}		Grants permission to create a virtual router within a service mesh
AWS App Mesh 	appmesh	CreateVirtualService	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_CreateVirtualService.html	Write	aws:TagKeys, aws:RequestTag/${TagKey}		Grants permission to create a virtual service within a service mesh
AWS App Mesh 	appmesh	DeleteGatewayRoute	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DeleteGatewayRoute.html	Write			Grants permission to delete an existing gateway route
AWS App Mesh 	appmesh	DeleteMesh	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DeleteMesh.html	Write			Grants permission to delete an existing service mesh
AWS App Mesh 	appmesh	DeleteRoute	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DeleteRoute.html	Write			Grants permission to delete an existing route
AWS App Mesh 	appmesh	DeleteVirtualGateway	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DeleteVirtualGateway.html	Write			Grants permission to delete an existing virtual gateway
AWS App Mesh 	appmesh	DeleteVirtualNode	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DeleteVirtualNode.html	Write			Grants permission to delete an existing virtual node
AWS App Mesh 	appmesh	DeleteVirtualRouter	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DeleteVirtualRouter.html	Write			Grants permission to delete an existing virtual router
AWS App Mesh 	appmesh	DeleteVirtualService	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DeleteVirtualService.html	Write			Grants permission to delete an existing virtual service
AWS App Mesh 	appmesh	DescribeGatewayRoute	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DescribeGatewayRoute.html	Read			Grants permission to describe an existing gateway route
AWS App Mesh 	appmesh	DescribeMesh	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DescribeMesh.html	Read			Grants permission to describe an existing service mesh
AWS App Mesh 	appmesh	DescribeRoute	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DescribeRoute.html	Read			Grants permission to describe an existing route
AWS App Mesh 	appmesh	DescribeVirtualGateway	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DescribeVirtualGateway.html	Read			Grants permission to describe an existing virtual gateway
AWS App Mesh 	appmesh	DescribeVirtualNode	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DescribeVirtualNode.html	Read			Grants permission to describe an existing virtual node
AWS App Mesh 	appmesh	DescribeVirtualRouter	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DescribeVirtualRouter.html	Read			Grants permission to describe an existing virtual router
AWS App Mesh 	appmesh	DescribeVirtualService	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DescribeVirtualService.html	Read			Grants permission to describe an existing virtual service
AWS App Mesh 	appmesh	ListGatewayRoutes	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_ListGatewayRoutes.html	List			Grants permission to list existing gateway routes in a service mesh
AWS App Mesh 	appmesh	ListMeshes	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_ListMeshes.html	List			Grants permission to list existing service meshes
AWS App Mesh 	appmesh	ListRoutes	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_ListRoutes.html	List			Grants permission to list existing routes in a service mesh
AWS App Mesh 	appmesh	ListTagsForResource	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_ListTagsForResource.html	List			Grants permission to list the tags for an App Mesh resource
AWS App Mesh 	appmesh	ListVirtualGateways	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_ListVirtualGateways.html	List			Grants permission to list existing virtual gateways in a service mesh
AWS App Mesh 	appmesh	ListVirtualNodes	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_ListVirtualNodes.html	List			Grants permission to list existing virtual nodes
AWS App Mesh 	appmesh	ListVirtualRouters	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_ListVirtualRouters.html	List			Grants permission to list existing virtual routers in a service mesh
AWS App Mesh 	appmesh	ListVirtualServices	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_ListVirtualServices.html	List			Grants permission to list existing virtual services in a service mesh
AWS App Mesh 	appmesh	StreamAggregatedResources	https://docs.aws.amazon.com/app-mesh/latest/userguide/envoy.html	Read			Grants permission to receive streamed resources for an App Mesh endpoint (VirtualNode/VirtualGateway)
AWS App Mesh 	appmesh	TagResource	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_TagResource.html	Tagging	aws:TagKeys, aws:RequestTag/${TagKey}		Grants permission to tag a resource with a specified resourceArn
AWS App Mesh 	appmesh	UntagResource	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_UntagResource.html	Tagging	aws:TagKeys		Grants permission to delete a tag from a resource
AWS App Mesh 	appmesh	UpdateGatewayRoute	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_UpdateGatewayRoute.html	Write			Grants permission to update an existing gateway route for a specified service mesh and virtual gateway
AWS App Mesh 	appmesh	UpdateMesh	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_UpdateMesh.html	Write			Grants permission to update an existing service mesh
AWS App Mesh 	appmesh	UpdateRoute	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_UpdateRoute.html	Write			Grants permission to update an existing route for a specified service mesh and virtual router
AWS App Mesh 	appmesh	UpdateVirtualGateway	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_UpdateVirtualGateway.html	Write			Grants permission to update an existing virtual gateway in a specified service mesh
AWS App Mesh 	appmesh	UpdateVirtualNode	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_UpdateVirtualNode.html	Write			Grants permission to update an existing virtual node in a specified service mesh
AWS App Mesh 	appmesh	UpdateVirtualRouter	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_UpdateVirtualRouter.html	Write			Grants permission to update an existing virtual router in a specified service mesh
AWS App Mesh 	appmesh	UpdateVirtualService	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_UpdateVirtualService.html	Write			Grants permission to update an existing virtual service in a specified service mesh
AWS App Mesh Preview 	appmesh-preview	CreateGatewayRoute	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_CreateGatewayRoute.html	Write			Grants permission to create a gateway route that is associated with a virtual gateway
AWS App Mesh Preview 	appmesh-preview	CreateMesh	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_CreateMesh.html	Write			Grants permission to create a service mesh
AWS App Mesh Preview 	appmesh-preview	CreateRoute	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_CreateRoute.html	Write			Grants permission to create a route that is associated with a virtual router
AWS App Mesh Preview 	appmesh-preview	CreateVirtualGateway	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_CreateVirtualGateway.html	Write			Grants permission to create a virtual gateway within a service mesh
AWS App Mesh Preview 	appmesh-preview	CreateVirtualNode	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_CreateVirtualNode.html	Write			Grants permission to create a virtual node within a service mesh
AWS App Mesh Preview 	appmesh-preview	CreateVirtualRouter	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_CreateVirtualRouter.html	Write			Grants permission to create a virtual router within a service mesh
AWS App Mesh Preview 	appmesh-preview	CreateVirtualService	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_CreateVirtualService.html	Write			Grants permission to create a virtual service within a service mesh
AWS App Mesh Preview 	appmesh-preview	DeleteGatewayRoute	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DeleteGatewayRoute.html	Write			Grants permission to delete an existing gateway route
AWS App Mesh Preview 	appmesh-preview	DeleteMesh	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DeleteMesh.html	Write			Grants permission to delete an existing service mesh
AWS App Mesh Preview 	appmesh-preview	DeleteRoute	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DeleteRoute.html	Write			Grants permission to delete an existing route
AWS App Mesh Preview 	appmesh-preview	DeleteVirtualGateway	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DeleteVirtualGateway.html	Write			Grants permission to delete an existing virtual gateway
AWS App Mesh Preview 	appmesh-preview	DeleteVirtualNode	https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_DeleteVirtualNode.html	Write			Grants permission to delete an existing virtual node
